section,title,description,status,color,tag1,tag2,file1_label,file1_url,file2_label,file2_url,file3_label,file3_url,youtube_url
child-protection,Child Protection Policy 2024 (English),Our complete safeguarding policy. Required reading for every staff member and volunteer.,Active,red,Policy,Required,English,Child Protection Policy 2024 - English.pdf,Khmer,https://drive.google.com/file/d/1HCPjMyL22kx08TQhDSFaQ3Gr8t6XZ6PW/view,,,
child-protection,Implementation Guide,How to put the Child Protection Policy into practice in your department — roles reporting response.,Active,red,,,Open,https://drive.google.com/file/d/1kDmxffsfOjRN8djTkdTL5bHFp6R6EteC/view,,,,,
child-protection,Information Sharing & Communication Guidelines,When and how to share information about beneficiaries and staff. Bilingual (Khmer / English).,Active,red,Guideline,Bilingual,Open,https://drive.google.com/file/d/1SUIhocxrIT0rTxU6X2sIL_BCOFX5Ebf2/view,,,,,
child-protection,Consent Form · Information Gathering,Use before photographing interviewing or collecting information from a beneficiary.,Active,,,,Open,https://drive.google.com/file/d/1dzioWO4jwquyfU6_K4llAFB7YHUPqfFB/view,,,,,
child-protection,Self-Declaration Form,Required for all new staff & volunteers. Bilingual (Khmer / English).,Active,,,,Open,https://drive.google.com/file/d/1fdDQU0UlVSJFGePD6y7WZQhfdj0qeOVL/view,,,,,
child-protection,Social Media Policy,Personal and ICF social media use — photos of children confidentiality online conduct.,Active,purple,,,Open,https://drive.google.com/file/d/1VPGSQ1HwDUV9-glzbXYIG5x0Ei_ZpA54/view,,,,,
guidelines,Code of Conduct,How we behave at work and with each other — English & Khmer versions.,Active,,Bilingual,,English,https://drive.google.com/file/d/1AKnwTVJa63ClFUIQToo9VOoJYfrif_PA/view,Khmer,https://drive.google.com/file/d/1lzRUIE2D7Pd6vhFAtOj8OjMouAfOn99A/view,,,
guidelines,Communication Guideline,Email Telegram meetings — how we communicate at ICF.,Active,,,,Open,https://drive.google.com/file/d/1EUKq3A7eXVMxabht_QMS9ymwAig8DG_u/view,,,,,
guidelines,Relationship Guideline,Workplace relationships and boundaries. Bilingual.,Active,,,,English,https://drive.google.com/file/d/1Giuv6w4e8naS0afqa9jP7tWrqrmn1rsz/view,Khmer,https://drive.google.com/file/d/1UOEODuxEKGTEJg_enkDFfJwfDwp275jK/view,,,
guidelines,Phone Allowance Guideline,Who qualifies how much how it's paid.,Active,,,,English,https://drive.google.com/file/d/1JH3TmaQz2R67mleQi60VxYQBuSvRtZAa/view,Khmer,https://drive.google.com/file/d/1Z8zWxUxZU3n2ueg_mSUAJ-0r9TKUF6nq/view,,,
guidelines,Training Commitment Form,Required for staff attending external training paid for by ICF.,Active,,,,Open,https://drive.google.com/file/d/1ezhRdVBrlk209wDJ52eBtbBymZKGUwti/view,,,,,
guidelines,Local Volunteers,Commitment form child protection foundations and onboarding pack for local volunteers.,Active,,,,Commitment Form,https://drive.google.com/file/d/18QKcGvtB-mbf3y9cJLNLmbaorl6ezKoz/view,English,https://drive.google.com/file/d/1tDH7LezK-GwpdBduVakgE0mWRgXuKgcx/view,,,
guidelines,Shared Hour Request Form,Request shared hours within your team.,Active,,,,Open,https://drive.google.com/file/d/1cUhzas7htLZWOFjZchTyCgvnHstpFNXt/view,,,,,
guidelines,Baby Gift & Funeral Fund,Staff family-life support programs. Bilingual.,Active,,,,Baby Gift,https://drive.google.com/file/d/1s-gAzJUdUY8rrHiKhIvUs3bengBTLvrS/view,Funeral Fund,https://drive.google.com/file/d/1SThBEhdquhbYNgnhB7cHS91PfYqxVz-5/view,,,
