Series,Series_Name,Series_Color,Code,Title,Subtitle,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Document_URL,Live
A,Lead Yourself,#6d28d9,A1,Grow as a Leader,Your Personal Growth Plan,1Growth is intentional — Nobody grows by accident; decide to grow before you decide what to do.,"2Know yourself first — Use self-assessment (strengths, personality, feedback) to see your real starting point.",3Pick your growth areas — Choose max. two skills or character areas per season instead of improving everything at once.,"4Build a simple plan — 30 minutes of deliberate growth daily beats a yearly seminar: reading, podcast, practice, reflection.",5Find growth partners — Share your plan with a mentor or peer who asks you about it regularly.,"6Review every quarter — Look back, celebrate progress, adjust the plan — growth compounds when reviewed.",https://drive.google.com/file/d/1yJzUHxhvkS6AZ-tQ744plYRXl9i9Tu8o/view,TRUE
A,Lead Yourself,#6d28d9,A2,Character & Integrity,Trust Is Built Here,1Character is the foundation — People follow who you are before they follow what you say; trust is built or broken here.,2Do what you say — Keep small promises relentlessly; reliability in small things earns authority in big things.,"3Be the same person everywhere — On campus, in the village, at church, online: one face, not two.",4Own your mistakes — Admitting errors quickly builds more trust than never making any.,5Handle money & resources cleanly — Transparency in finances and materials protects you and the ministry.,6Guard your private life — Integrity at home sustains integrity at work; hidden compromise always surfaces.,https://drive.google.com/file/d/1x1WGGaRPYCkFXT9fx0LT0-aDlgrbsYhX/view,TRUE
A,Lead Yourself,#6d28d9,A3,Managing Your Time & Priorities,First Things First,"1Not everything urgent is important — Learn to sort by impact, not by loudness.","2Plan the week, not just the day — 30 minutes on Monday planning saves hours of firefighting.",3The Jar of Life — Big rocks first: schedule your most important work before the small stuff fills the week.,4Protect focus time — Block 2 hours without Telegram for the work only you can do.,5Learn to say no well — Every yes is a no to something else; declining kindly is a leadership skill.,"6Delegate before you drown — If your list never ends, the problem is usually keeping, not workload.",https://drive.google.com/file/d/1VzBLJMkGwRf5LD1Fwh6DNhv2AKSxhsCw/view,TRUE
A,Lead Yourself,#6d28d9,A4,"Self-Care, Boundaries & Spiritual Health",Lead From a Full Cup,"1You can't pour from an empty cup — Sustainable leadership starts with rest, sleep and Sabbath.","2Set working boundaries — Define your hours and response times, and let the team know them.","3Stay spiritually connected — Personal devotion is the engine, not the decoration, of ministry leadership.","4Watch your warning signs — Irritability, cynicism and exhaustion are data, not weakness.",5Have safe people — Every leader needs one place to be completely honest.,6Ask for help early — Talking to your leader or HR before breaking point is strength.,https://drive.google.com/file/d/10vpCG1dTvrX545tXkTCtfH55chye5DTF/view,TRUE
B,Develop People,#2563eb,B1,One-on-One Meetings That Work,Thirty Minutes of Full Attention,1Why one-on-ones matter — 30 minutes of full attention builds more trust than a month of hallway talk.,"2A steady rhythm — Fixed frequency (e.g., bi-weekly), fixed length, protected in the calendar — cancelling communicates priorities.","3Their agenda, not a status update — The one-on-one is for the person behind the work — their questions, blockers, growth and wellbeing.",4Four questions that always work — How are you? What's going well? Where are you stuck? How can I help?,"5Listen more than you talk — They should talk 60–80% of the time; questions develop people, answers only inform them.",6Close with commitments — End with one or two concrete follow-ups and revisit them next time.,https://drive.google.com/file/d/1yfZuGXWJJ5VeCf_Si5mFYkpYZvX0qW3K/view,TRUE
B,Develop People,#2563eb,B2,Delegating Well,Multiply Yourself Through Others,"1Why leaders don't delegate — Fear of quality, speed and losing control keeps you small; delegation is how both of you grow.","2Choose the right task & person — Match responsibility to their level: delegate outcomes to strong people, steps to learners.","3Hand over the why, not just the what — People own tasks when they understand purpose and boundaries.","4Agree on check-ins, don't hover — Set milestones together instead of micromanaging in between.",5Let them do it differently — 80% done their way beats 100% done your way — that's the price of growth.,"6Stay accountable, then give credit — Delegating the task never delegates your responsibility: stay reachable, debrief, and give credit publicly.",https://drive.google.com/file/d/1VJFY_2YFUrUnvyhhxScbecLZX_iNZHzE/view,TRUE
B,Develop People,#2563eb,B3,Coaching Your Team Members,Questions That Grow People,"1Coaching ≠ telling — A coach helps people find their own answer; advice creates dependence, questions create growth.","2The GROW path — Goal, Reality, Options, Will: four steps that structure any coaching conversation.","3Ask powerful questions — Open questions (""What have you tried?"") unlock more than suggestions.",4Listen for the real issue — The presented problem is often not the actual problem; stay curious.,5Let them commit — A self-chosen next step has ten times the follow-through of an assigned one.,"6Follow up faithfully — Coaching works through rhythm, not through one good conversation.",https://drive.google.com/file/d/1Oupoiw_dWIHe3Dkd8byAVk6wZ5meR8bn/view,TRUE
B,Develop People,#2563eb,B4,Spotting & Developing Future Leaders,Building the Next Generation,"1Look for faithfulness, not flash — Potential shows in reliability, hunger to learn and care for others.","2Give responsibility early — Small real ownership (an event, a shift, a project) reveals and builds leaders.",3The apprenticeship path — I do–you watch → we do together → you do–I support → you do–you teach.,4Develop in public — Let emerging leaders run meetings and make visible decisions while you back them.,5Talk about their future — Name what you see in them; many Khmer staff wait for permission to aspire.,"6Release, don't hoard — Success is when your best person outgrows your team.",https://drive.google.com/file/d/1BP90RCXrBxfLAmgfmY_fmUIlFzLfFqAv/view,TRUE
B,Develop People,#2563eb,B5,Performance Conversations (APR),Honest Reviews Without Surprises,"1Feedback is weekly, the review is a summary — The APR only collects what regular one-on-ones already made clear — nothing should surprise.",2Prepare with facts — Collect concrete examples for strengths and growth areas; vagueness helps no one.,3Start with self-assessment — Let them evaluate themselves first — most people are more honest than you expect.,4Balance honor and honesty — Real appreciation and clear growth points in the same conversation.,"5Agree development goals — Two or three goals with support attached, written down together.",6Follow the ICF APR process — Use the official forms and timeline so HR and payroll stay aligned.,https://drive.google.com/file/d/1SJY4VFsF8Il9AQcQlc42xI6_4Sw05jar/view,TRUE
B,Develop People,#2563eb,B6,Recognition & Keeping Motivation High,Fuel for the Long Run,"1What gets recognized gets repeated — Praise is steering, not decoration.","2Be specific, timely and frequent — ""Thank you for staying late to fix the pump on Tuesday"" beats ""good job""; recognized people are far more engaged.","3See the unseen roles — Practical teams (cleaning, security, kitchen, garden) feel overlooked most — your recognition matters double there.","4Know each person's fuel — Public praise, private words, responsibility, learning — motivation is individual.","5Celebrate progress, not only results — Effort and improvement deserve visibility, especially in hard seasons.","6Watch for demotivation signals — Silence, absence and minimum-effort are messages; address them early.",https://drive.google.com/file/d/1g8WgqBFMx9nOxdVdOhbz19efpTuOuTdD/view,TRUE
