type,order,icon,title,description,status,meta,contact_label,contact_url,link_label,link_url,live
service,1,design,Graphic Design & Print,"Flyers, banners, posters, certificates, social graphics. Submit via Media Request with brief and deadline.",Coming soon,,,,,,TRUE
service,2,video,Photography & Video,"Event coverage, staff portraits, promo videos. Book at least 2 weeks in advance.",Coming soon,,,,,,TRUE
service,3,social,Social Media & Content,"Facebook, Instagram, YouTube posts and campaigns. Share content brief 5 days before posting date.",,,Savann,https://t.me/savannss,,,TRUE
service,4,translate,Translation (EN ↔ KH),"Documents, emails, announcements. Allow 3–5 working days per document.",Coming soon,,,,,,TRUE
service,5,event,Event Support,"Stage design, livestreaming, AV setup for internal events and church services.",Coming soon,,,,,,TRUE
service,6,learning,Learning Center,"Staff learning resources, training materials and development content. Coordinator: Makara Ne.",Active,,,,,,TRUE
brand,1,circle,ICF Cambodia Logo Pack,"All logo variants — colour, white, black — in PNG and SVG.",Active,Updated 2026,,,Open in Media Center,media.html,TRUE
brand,2,palette,Brand Colour & Font Guide,"Official ICF Cambodia colours, typography and usage rules.",Active,Updated Jan 2026,,,Open in Media Center,media.html,TRUE
brand,3,doc,Communication Templates,"Email headers, newsletter layout, announcement banners.",Coming soon,In progress,,,,,TRUE
sop,1,,SOP — Media Request Workflow,"Submission, review timelines and file handover. Owner: Ratana Khy",Coming soon,,,,,,TRUE
sop,2,,SOP — Social Media Posting Guidelines,"Approval chain, tone of voice, content rules. Owner: Savann Sun",Coming soon,,,,,,TRUE
sop,3,,SOP — Translation Request Process,"Submission, turnaround times and quality check. Owner: MarCom",Coming soon,,,,,,TRUE
sop,4,,Brand Usage Policy,"Do's and don'ts for using ICF logos and identity. Owner: Ratana Khy",Coming soon,,,,,,TRUE
